iter	MultiClass
0	2.625426007
1	2.401783722
2	2.27908998
3	2.206489515
4	2.111824886
5	2.05410974
6	2.013041135
7	1.959258605
8	1.926538217
9	1.885581216
10	1.864797312
11	1.82789015
12	1.803278882
13	1.765174003
14	1.734720562
15	1.716396718
16	1.685420271
17	1.668897041
18	1.651544192
19	1.636150191
20	1.620926306
21	1.60723481
22	1.591961149
23	1.58041123
24	1.569141784
25	1.554635476
26	1.547711196
27	1.535658026
28	1.518433416
29	1.509440252
30	1.496412092
31	1.485960238
32	1.478891447
33	1.467521252
34	1.457317985
35	1.449010571
36	1.439090348
37	1.431772345
38	1.418815009
39	1.402972063
40	1.397069287
41	1.391188986
42	1.383210864
43	1.375608304
44	1.366741765
45	1.358069516
46	1.345099897
47	1.340410283
48	1.333723192
49	1.329137705
50	1.322628626
51	1.315374857
52	1.309252646
53	1.303763345
54	1.292650985
55	1.285649908
56	1.278129577
57	1.270831418
58	1.266124891
59	1.261101781
60	1.256970799
61	1.253341467
62	1.248163237
63	1.244612757
64	1.241274549
65	1.235347303
66	1.231036542
67	1.222760824
68	1.219031916
69	1.212794933
70	1.207994479
71	1.202812454
72	1.19560903
73	1.191743584
74	1.189632525
75	1.185488983
76	1.182270467
77	1.176712034
78	1.172009736
79	1.166837063
80	1.161817887
81	1.155864858
82	1.151559959
83	1.14733709
84	1.144435241
85	1.140378897
86	1.135953407
87	1.130622708
88	1.122528929
89	1.118805001
90	1.1138803
91	1.110391746
92	1.107120884
93	1.104152385
94	1.100343926
95	1.097624462
96	1.090562945
97	1.088441099
98	1.084741922
99	1.081645013
100	1.078963813
101	1.075742237
102	1.072377099
103	1.069806947
104	1.0660218
105	1.062208675
106	1.059811138
107	1.0572876
108	1.054071927
109	1.051194508
110	1.048590579
111	1.043022674
112	1.039957483
113	1.037360632
114	1.035199864
115	1.03338283
116	1.03099838
117	1.027895178
118	1.025661821
119	1.023535662
120	1.019580797
121	1.017112115
122	1.015598803
123	1.013294352
124	1.010394427
125	1.003879501
126	1.001272633
127	0.9993260001
128	0.9970624883
129	0.9949793053
130	0.9937817702
131	0.9913556163
132	0.990210189
133	0.9872776776
134	0.9855180584
135	0.9836222468
136	0.981970543
137	0.9798176652
138	0.978013909
139	0.976261131
140	0.9748722279
141	0.9707892545
142	0.9691977699
143	0.967839861
144	0.9662984339
145	0.9647167061
146	0.9629457767
147	0.9612226066
148	0.9601357666
149	0.958763533
150	0.9563558195
151	0.9545863568
152	0.9531919307
153	0.9521902413
154	0.9502032539
155	0.9488241158
156	0.9468525159
157	0.9446204636
158	0.9430812165
159	0.9403604865
160	0.9390606898
161	0.9373378961
162	0.9362987947
163	0.9342853137
164	0.9331263825
165	0.9320674047
166	0.930385311
167	0.9293069311
168	0.9275511434
169	0.9259093151
170	0.924465199
171	0.9234492746
172	0.9224685455
173	0.9215650428
174	0.9205012283
175	0.919509408
176	0.9184769264
177	0.9176139176
178	0.9157737989
179	0.9149035677
180	0.9134023597
181	0.9122038621
182	0.9114698968
183	0.9101252469
184	0.9087001088
185	0.9078097097
186	0.9054454823
187	0.9039135553
188	0.9028753944
189	0.9016920989
190	0.9011543225
191	0.9003184249
192	0.8983704478
193	0.8922918872
194	0.8912357629
195	0.8877657575
196	0.8859535414
197	0.8853180411
198	0.8842969378
199	0.8829961862
200	0.8816895135
201	0.8809336851
202	0.8799740605
203	0.8789192898
204	0.877910547
205	0.8768183416
206	0.8756646148
207	0.8748897433
208	0.8737854404
209	0.8729314795
210	0.8717280138
211	0.8709211521
212	0.8699101887
213	0.8692019429
214	0.8684673886
215	0.8672708734
216	0.8661414963
217	0.865445583
218	0.8638275213
219	0.8631369876
220	0.8621852129
221	0.8610453392
222	0.8591289387
223	0.8578604336
224	0.8572991781
225	0.8566876522
226	0.8555523611
227	0.8548489546
228	0.8537096703
229	0.852477392
230	0.8516720729
231	0.8507815379
232	0.8498747644
233	0.849210637
234	0.8469083989
235	0.8464087172
236	0.8456097376
237	0.8449542329
238	0.8444291538
239	0.8437638297
240	0.8410258391
241	0.8401579595
242	0.8396232909
243	0.8388512337
244	0.8361092827
245	0.8346455228
246	0.8331139617
247	0.8325387305
248	0.8301966438
249	0.8294126627
250	0.8290481034
251	0.8283432121
252	0.8274028378
253	0.8266500635
254	0.8259520777
255	0.8254159025
256	0.8247920534
257	0.822257856
258	0.8217204733
259	0.8189362753
260	0.8157722499
261	0.8153904603
262	0.8131524753
263	0.8112379976
264	0.8103260659
265	0.8096840053
266	0.8092816899
267	0.8087336171
268	0.8081624325
269	0.8073777852
270	0.8068992379
271	0.8061710993
272	0.8056765479
273	0.8047559679
274	0.8042545656
275	0.8034089824
276	0.8027887
277	0.8022093456
278	0.8011740922
279	0.800734569
280	0.7999666663
281	0.7993707401
282	0.7989285284
283	0.7982382284
284	0.7976886971
285	0.7971604893
286	0.7965321639
287	0.7959715314
288	0.7953891182
289	0.7945515676
290	0.7942149224
291	0.7936211918
292	0.791958051
293	0.7916982306
294	0.7911059017
295	0.790468805
296	0.7896615251
297	0.7890353498
298	0.7885783766
299	0.7881310596
300	0.7876103978
301	0.7872377959
302	0.7867794438
303	0.7864784278
304	0.7862749815
305	0.7838606051
306	0.7834451358
307	0.7830944139
308	0.7819355692
309	0.7815718365
310	0.7804851866
311	0.7799369906
312	0.7795401049
313	0.7784802076
314	0.7779957946
315	0.777604464
316	0.7763728868
317	0.7758102595
318	0.7753162561
319	0.7749141528
320	0.7742756637
321	0.7737837916
322	0.7732967592
323	0.7702522163
324	0.7699272163
325	0.7671694648
326	0.7664673404
327	0.766187543
328	0.7659108487
329	0.7653893533
330	0.7649787971
331	0.7646870624
332	0.7644766123
333	0.763788903
334	0.7627964055
335	0.7616904065
336	0.7600346575
337	0.7596354862
338	0.7593481675
339	0.7591541209
340	0.7587100602
341	0.7581914574
342	0.7577874431
343	0.7571106033
344	0.7567144918
345	0.7553967961
346	0.7549854787
347	0.754658741
348	0.7541621721
349	0.7538383742
350	0.7524956457
351	0.7518246227
352	0.750920308
353	0.7506136123
354	0.7499441578
355	0.7497121704
356	0.7494147959
357	0.7491132975
358	0.7488188972
359	0.7485757352
360	0.7482668243
361	0.7480234207
362	0.7474808459
363	0.7471537716
364	0.7469559123
365	0.7460689758
366	0.7457103065
367	0.7448162745
368	0.744475872
369	0.744236206
370	0.7439751449
371	0.7437896179
372	0.7435966106
373	0.7424640434
374	0.7420375654
375	0.741323701
376	0.7407605646
377	0.7404628597
378	0.7402056845
379	0.739671738
380	0.7393375555
381	0.739148841
382	0.7374655124
383	0.7367180861
384	0.7356144029
385	0.7350274753
386	0.734620072
387	0.7343449675
388	0.7327183231
389	0.7319751151
390	0.7307179527
391	0.7300701984
392	0.7297433422
393	0.7295434718
394	0.7291735448
395	0.7289605521
396	0.7286420306
397	0.7284212634
398	0.7278866661
399	0.7275818012
400	0.727248001
401	0.7267506399
402	0.7263970949
403	0.7250429939
404	0.7246572329
405	0.7244153578
406	0.7239843583
407	0.7237163367
408	0.7234601977
409	0.7231623692
410	0.7228982528
411	0.7226653077
412	0.7223976571
413	0.7219399641
414	0.721749274
415	0.7215515609
416	0.7212181156
417	0.7208274504
418	0.7196169704
419	0.7194565687
420	0.7191527357
421	0.7188952828
422	0.7186605012
423	0.7185206226
424	0.7183018271
425	0.7180822274
426	0.7177919866
427	0.7175911563
428	0.7172062852
429	0.715688196
430	0.7137060128
431	0.7135051992
432	0.7133078193
433	0.7130283722
434	0.7126509247
435	0.7124250657
436	0.7120933256
437	0.7114904475
438	0.711335704
439	0.7111107366
440	0.710842047
441	0.7105263508
442	0.7103231868
443	0.7100689174
444	0.7095776615
445	0.7088703355
446	0.7082322249
447	0.7079090499
448	0.7066708673
449	0.7060837484
450	0.7056880946
451	0.705331924
452	0.7050038044
453	0.7039331514
454	0.7034692755
455	0.7032469551
456	0.7027854374
457	0.7025618665
458	0.7020201476
459	0.7017659427
460	0.701392505
461	0.70104651
462	0.7006402747
463	0.6994964985
464	0.6992408764
465	0.6989917361
466	0.6987627134
467	0.6985058737
468	0.6982843167
469	0.6979405153
470	0.6976888646
471	0.6974368374
472	0.6972589299
473	0.6970657309
474	0.6966690337
475	0.6960576629
476	0.6958362202
477	0.6955408389
478	0.6951629398
479	0.6945872721
480	0.6943082093
481	0.6934767414
482	0.6932605089
483	0.6931135728
484	0.6921618388
485	0.6919968692
486	0.6917218814
487	0.691519752
488	0.6913583622
489	0.6911892497
490	0.6910368718
491	0.6903696026
492	0.6901119432
493	0.6898244395
494	0.6896197593
495	0.6889906713
496	0.6888058121
497	0.6882704034
498	0.6879852681
499	0.6877793095
500	0.6876426218
501	0.6853823482
502	0.6851145912
503	0.684181048
504	0.684001611
505	0.6838645886
506	0.6836698971
507	0.6834499489
508	0.6831372561
509	0.6829239588
510	0.6826518962
511	0.6824897922
512	0.6820087442
513	0.6817774814
514	0.6814474249
515	0.6805814638
516	0.6803985383
517	0.6802699233
518	0.6799727451
519	0.6797759375
520	0.679296506
521	0.6789437997
522	0.6787503863
523	0.6784519055
524	0.6781567909
525	0.6779495386
526	0.6778242289
527	0.6776661822
528	0.6773949639
529	0.6771811909
530	0.6769749883
531	0.6767780721
532	0.6765797335
533	0.6764062744
534	0.6762385356
535	0.675849968
536	0.6751301744
537	0.6749700471
538	0.6747919285
539	0.6745505107
540	0.6742547027
541	0.6740572046
542	0.6732794615
543	0.6726818998
544	0.6724794962
545	0.6720329669
546	0.6718834705
547	0.6713726236
548	0.6712271341
549	0.6707677611
550	0.6702370289
551	0.6700807929
552	0.6699802147
553	0.6697676613
554	0.6694735017
555	0.6692658754
556	0.6684793966
557	0.668194444
558	0.6679980696
559	0.6676826299
560	0.6671513391
561	0.6666555063
562	0.6663161175
563	0.6662303455
564	0.6661158971
565	0.6659569001
566	0.6657538312
567	0.6653936716
568	0.6651082523
569	0.6649257601
570	0.6647488805
571	0.664515479
572	0.6643871408
573	0.6641945026
574	0.6640917091
575	0.6639867437
576	0.6638722852
577	0.6637072777
578	0.662967313
579	0.662464949
580	0.6623362421
581	0.6621392678
582	0.661940907
583	0.6617793751
584	0.6614660563
585	0.661296301
586	0.6607428278
587	0.6604962476
588	0.6601288045
589	0.6599353302
590	0.6597680571
591	0.6596184436
592	0.6594995497
593	0.6592836995
594	0.6591543326
595	0.6587937038
596	0.6586158079
597	0.6581469023
598	0.6579359559
599	0.6575968369
600	0.6571173358
601	0.6567326744
602	0.6565922598
603	0.6563659902
604	0.6562570024
605	0.6561648153
606	0.655972915
607	0.6557754063
608	0.6556503629
609	0.6554936568
610	0.6552538634
611	0.6551345708
612	0.6549728864
613	0.6547791871
614	0.6545856817
615	0.6544267727
616	0.6541055996
617	0.6539998953
618	0.6538146584
619	0.6536743791
620	0.6534427776
621	0.6532767212
622	0.6531170422
623	0.6529760666
624	0.6528760038
625	0.6527280019
626	0.6520463919
627	0.6518986488
628	0.6516969257
629	0.6508184125
630	0.650645674
631	0.6504364084
632	0.6503766692
633	0.6496383412
634	0.6494813775
635	0.6492904206
636	0.6491847337
637	0.6490297351
638	0.6488206619
639	0.6487084809
640	0.647559373
641	0.6472847897
642	0.6471053947
643	0.6468846136
644	0.6466857481
645	0.6460804115
646	0.6459423415
647	0.6457784709
648	0.6456346279
649	0.6453362896
650	0.6452084101
651	0.6450467756
652	0.6449106096
653	0.6447062609
654	0.643697508
655	0.6435447669
656	0.6434544263
657	0.6432618634
658	0.6431555871
659	0.6430329716
660	0.64293276
661	0.6423307506
662	0.6421037799
663	0.6419863183
664	0.641283373
665	0.6409660955
666	0.6407571964
667	0.6402445714
668	0.6399640984
669	0.6398897187
670	0.6397122803
671	0.6394729403
672	0.6392954119
673	0.6392007945
674	0.6388380131
675	0.638695327
676	0.6385442008
677	0.6383691276
678	0.6382297686
679	0.6380757566
680	0.6378613373
681	0.6375254748
682	0.6374113983
683	0.6372595836
684	0.6369637331
685	0.6367193542
686	0.6365336393
687	0.6363801849
688	0.6361897963
689	0.6352909708
690	0.6350583193
691	0.6341286539
692	0.6340218714
