iter	Passed	Remaining
0	270	2219198
1	383	1569573
2	488	1334457
3	605	1239220
4	713	1168055
5	829	1131843
6	933	1091773
7	1040	1063926
8	1144	1040432
9	1259	1030135
10	1363	1013788
11	1473	1004105
12	1585	997241
13	1695	990402
14	1798	980201
15	1901	971883
16	2031	977055
17	2133	968773
18	2232	960370
19	2340	956343
20	2452	954161
21	2555	949072
22	2657	943784
23	2762	940149
24	2866	936394
25	2970	932871
26	3067	927672
27	3167	923658
28	3272	921013
29	3371	917349
30	3472	914039
31	3576	912048
32	3680	910016
33	3790	909413
34	3889	906368
35	3992	904600
36	4101	903919
37	4206	902641
38	4307	900434
39	4406	898023
40	4502	895159
41	4606	893904
42	4710	892640
43	4812	891236
44	4911	889235
45	5012	887651
46	5114	886330
47	5217	885293
48	5323	884736
49	5426	883666
50	5524	881868
51	5627	880965
52	5730	879938
53	5832	878957
54	5937	878480
55	6038	877261
56	6138	876140
57	6252	876844
58	6356	876293
59	6459	875498
60	6559	874396
61	6663	873761
62	6770	873646
63	6870	872562
64	6973	871906
65	7078	871476
66	7177	870354
67	7282	870033
68	7381	869026
69	7483	868248
70	7584	867477
71	7684	866610
72	7785	865941
73	7888	865371
74	7989	864637
75	8088	863805
76	8195	863699
77	8295	862987
78	8393	862010
79	8494	861296
80	8600	861218
81	8704	860912
82	8806	860383
83	8906	859720
84	9006	858988
85	9108	858533
86	9214	858454
87	9315	857887
88	9432	858764
89	9554	860099
90	9687	862403
91	9802	863067
92	9931	864867
93	10039	864870
94	10143	864519
95	10250	864500
96	10355	864203
97	10468	864645
98	10571	864175
99	10684	864600
100	10795	864835
101	10904	864847
102	11014	865006
103	11131	865657
104	11239	865689
105	11348	865723
106	11450	865221
107	11567	865827
108	11699	867601
109	11861	871502
110	12223	889874
111	12387	893704
112	12530	895841
113	12780	905619
114	12906	906470
115	13042	908044
116	13159	908224
117	13274	908311
118	13398	908957
119	13509	908720
120	13636	909610
121	13744	909164
122	13851	908659
123	13957	908127
124	14075	908347
125	14198	908912
126	14311	908860
127	14422	908597
128	14540	908847
129	14650	908570
130	14783	909709
131	14890	909241
132	15000	908930
133	15107	908498
134	15217	908198
135	15325	907796
136	15438	907693
137	15543	907159
138	15679	908421
139	15828	910387
140	15956	911103
141	16070	911062
142	16196	911623
143	16306	911356
144	16428	911716
145	16543	911705
146	16650	911243
147	16757	910816
148	16874	910897
149	16987	910773
150	17096	910414
151	17206	910152
152	17319	910014
153	17440	910293
154	17562	910627
155	17677	910592
156	17787	910343
157	17895	909942
158	18039	911405
159	18190	913149
160	18450	920370
161	18594	921703
162	18713	921781
163	18924	926384
164	19059	927218
165	19201	928356
166	19346	929683
167	19582	935277
168	19714	935933
169	19846	936544
