Date,Description,Amount (Negated),Amount,Category,Predicted Category,Prediction_Confidence,Check
7/1/2024,rolly salary,3000,,Expenses:Professional Fees,Expenses:Professional Fees,41%,Prediction Correct
7/3/2024,withdraw,,20000,Assets:Current Assets:Banks Local:BPI ATM House,Assets:Current Assets:Banks Local:BPI ATM House,58%,Prediction Correct
7/5/2024,bamboo diffuser,522,,Expenses:Food:Groceries,Expenses:Food:Groceries,59%,Prediction Correct
7/5/2024,cupling,250,,Expenses:Food:Groceries,Expenses:Food:Groceries,59%,Prediction Correct
7/5/2024,willy labor,500,,Expenses:Professional Fees,Expenses:Professional Fees,50%,Prediction Correct
7/5/2024,mam B,60,,Expenses:Transportation:Parking,Expenses:Transportation:Parking,39%,Prediction Correct
7/5/2024,elmer,1000,,Expenses:Professional Fees,Expenses:Housing:Gardening,33%,Prediction Not Correct
7/5/2024,santis rider,250,,Expenses:Professional Fees,Expenses:Professional Fees,61%,Prediction Correct
7/5/2024,yoghurt,228,,Expenses:Food:Groceries,Expenses:Food:Groceries,59%,Prediction Correct
7/5/2024,milk,690,,Expenses:Food:Groceries,Expenses:Food:Groceries,66%,Prediction Correct
7/5/2024,truffle,334,,Expenses:Food:Groceries,Expenses:Food:Groceries,59%,Prediction Correct
7/5/2024,ham,242,,Expenses:Food:Groceries,Expenses:Food:Groceries,64%,Prediction Correct
7/5/2024,ground beef,1350,,Expenses:Food:Groceries,Expenses:Food:Groceries,63%,Prediction Correct
7/5/2024,pork neck,938,,Expenses:Food:Groceries,Expenses:Food:Groceries,64%,Prediction Correct
7/5/2024,strawberry,280,,Expenses:Food:Groceries,Expenses:Food:Groceries,61%,Prediction Correct
7/5/2024,grapes,250,,Expenses:Food:Groceries,Expenses:Food:Groceries,63%,Prediction Correct
7/5/2024,white onion,160,,Expenses:Food:Groceries,Expenses:Food:Groceries,49%,Prediction Correct
7/5/2024,leeks,65,,Expenses:Food:Groceries,Expenses:Food:Groceries,62%,Prediction Correct
