Date,Description,Amount (Negated),Amount,Category
9/1/2024,pampano 620 wrong encode (640),20.00,,Expenses:Food:Groceries
9/1/2024,ARC 8-19-24 NOT encoded,470.00,,Expenses:Utilities:Drinking Water
9/1/2024,Honey x6,1900.00,,Expenses:Food:Groceries
9/2/2024,sir Gio CASH,,10000.00,Assets:Current Assets:Cash Local:Cash in Wallet (GB)
9/2/2024,tooth fairy,500.00,,Expenses:Childcare:Others
9/2/2024,jeeves,600.00,,Expenses:Professional Fees
9/3/2024,butane,350.00,,Expenses:Household Supplies
9/3/2024,rolly salary,3000.00,,Expenses:Professional Fees
9/4/2024,del fee for document,250.00,,Expenses:Professional Fees
9/5/2024,withdraw,,20000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/5/2024,EPS Muji,,1650.00,Expenses:Household Supplies
9/5/2024,Muji shoes Sir Gio,1650.00,,Expenses:Clothes
9/5/2024,ground beef,470.00,,Expenses:Food:Groceries
9/5/2024,Healthy Option,1475.00,,Expenses:Health:Alternative
9/5/2024,Healthy Option Protein Bars,4475.00,,Expenses:Food:Groceries
9/5/2024,National Book store,2869.00,,Expenses:Household Supplies
9/5/2024,Mercruy Drug,2120.00,,Expenses:Health:Medicines
9/5/2024,shopee peeler,145.00,,Expenses:Childcare:School Supplies
9/6/2024,withdraw,,7000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/6/2024,shopee window wipers,104.00,,Expenses:Childcare:School Supplies
9/6/2024,flower,550.00,,Expenses:Food:Groceries
9/6/2024,potato,320.00,,Expenses:Food:Groceries
9/6/2024,pinya,210.00,,Expenses:Food:Groceries
9/6/2024,romaine,560.00,,Expenses:Food:Groceries
9/6/2024,celery,180.00,,Expenses:Food:Groceries
9/6/2024,carrots,210.00,,Expenses:Food:Groceries
9/6/2024,cucumber,310.00,,Expenses:Food:Groceries
9/6/2024,blueberries,450.00,,Expenses:Food:Groceries
9/6/2024,strawberry,280.00,,Expenses:Food:Groceries
9/6/2024,apple,150.00,,Expenses:Food:Groceries
9/6/2024,orange,150.00,,Expenses:Food:Groceries
9/6/2024,pomelo,210.00,,Expenses:Food:Groceries
9/6/2024,banana,195.00,,Expenses:Food:Groceries
9/6/2024,avocado,280.00,,Expenses:Food:Groceries
9/6/2024,basil,100.00,,Expenses:Food:Groceries
9/6/2024,mint,100.00,,Expenses:Food:Groceries
9/6/2024,wansoy,180.00,,Expenses:Food:Groceries
9/6/2024,egg,250.00,,Expenses:Food:Groceries
9/6/2024,saba,280.00,,Expenses:Food:Groceries
9/6/2024,red onion,180.00,,Expenses:Food:Groceries
9/6/2024,garlic,160.00,,Expenses:Food:Groceries
9/6/2024,zuchinni,130.00,,Expenses:Food:Groceries
9/6/2024,cauliflower,350.00,,Expenses:Food:Groceries
9/6/2024,tomato,160.00,,Expenses:Food:Groceries
9/6/2024,bell pepper red,150.00,,Expenses:Food:Groceries
9/6/2024,bell pepper green,280.00,,Expenses:Food:Groceries
9/6/2024,broccoli,330.00,,Expenses:Food:Groceries
