Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
10/2/2024,soda stream,1000.00,,Expenses:Professional Fees,-1000.00,FALSE,FALSE
10/2/2024,soda del fee,350.00,,Expenses:Professional Fees,-350.00,FALSE,FALSE
10/3/2024,del fee mam B,100.00,,Expenses:Professional Fees,-100.00,FALSE,FALSE
10/4/2024,withdraw,,19000.00,Assets:Current Assets:Banks Local:BPI ATM House,19000.00,FALSE,FALSE
10/4/2024,rolly salary,3000.00,,Expenses:Professional Fees,-3000.00,FALSE,FALSE
10/4/2024,milk,552.00,,Expenses:Food:Groceries,-552.00,FALSE,FALSE
10/4/2024,tuna,588.00,,Expenses:Food:Groceries,-588.00,FALSE,FALSE
10/4/2024,farmers ham,308.00,,Expenses:Food:Groceries,-308.00,FALSE,FALSE
10/4/2024,basil,60.00,,Expenses:Food:Groceries,-60.00,FALSE,FALSE
10/4/2024,asparagus,267.00,,Expenses:Food:Groceries,-267.00,FALSE,FALSE
10/4/2024,mixed salad,225.00,,Expenses:Food:Groceries,-225.00,FALSE,FALSE
10/4/2024,rider,250.00,,Expenses:Professional Fees,-250.00,FALSE,FALSE
10/4/2024,flower,550.00,,Expenses:Food:Groceries,-550.00,FALSE,FALSE
10/4/2024,romaine,680.00,,Expenses:Food:Groceries,-680.00,FALSE,FALSE
10/4/2024,talong,120.00,,Expenses:Food:Groceries,-120.00,FALSE,FALSE
10/4/2024,saging,180.00,,Expenses:Food:Groceries,-180.00,FALSE,FALSE
10/4/2024,mais,180.00,,Expenses:Food:Groceries,-180.00,FALSE,FALSE
10/4/2024,carrots,210.00,,Expenses:Food:Groceries,-210.00,FALSE,FALSE
10/4/2024,saba,150.00,,Expenses:Food:Groceries,-150.00,FALSE,FALSE
10/4/2024,broccoli,420.00,,Expenses:Food:Groceries,-420.00,FALSE,FALSE
10/4/2024,apple,150.00,,Expenses:Food:Groceries,-150.00,FALSE,FALSE
10/4/2024,onion,210.00,,Expenses:Food:Groceries,-210.00,FALSE,FALSE
10/4/2024,tomato,180.00,,Expenses:Food:Groceries,-180.00,FALSE,FALSE
10/4/2024,lemon,150.00,,Expenses:Food:Groceries,-150.00,FALSE,FALSE
10/4/2024,bell pepper,260.00,,Expenses:Food:Groceries,-260.00,FALSE,FALSE
10/4/2024,pipino,320.00,,Expenses:Food:Groceries,-320.00,FALSE,FALSE
10/4/2024,ponkan,150.00,,Expenses:Food:Groceries,-150.00,FALSE,FALSE
10/4/2024,french beans,160.00,,Expenses:Food:Groceries,-160.00,FALSE,FALSE
10/4/2024,grapes,320.00,,Expenses:Food:Groceries,-320.00,FALSE,FALSE
10/4/2024,wansoy,240.00,,Expenses:Food:Groceries,-240.00,FALSE,FALSE
10/4/2024,cauliflower,410.00,,Expenses:Food:Groceries,-410.00,FALSE,FALSE
10/4/2024,monggo,70.00,,Expenses:Food:Groceries,-70.00,FALSE,FALSE
10/4/2024,potato,340.00,,Expenses:Food:Groceries,-340.00,FALSE,FALSE
10/4/2024,egg,250.00,,Expenses:Food:Groceries,-250.00,FALSE,FALSE
10/4/2024,magic sarap,70.00,,Expenses:Food:Groceries,-70.00,FALSE,FALSE
10/4/2024,pinya,190.00,,Expenses:Food:Groceries,-190.00,FALSE,FALSE
10/4/2024,dragon fruit,185.00,,Expenses:Food:Groceries,-185.00,FALSE,FALSE
10/4/2024,blueberry,390.00,,Expenses:Food:Groceries,-390.00,FALSE,FALSE
10/4/2024,strawberry,350.00,,Expenses:Food:Groceries,-350.00,FALSE,FALSE
10/4/2024,ginger,100.00,,Expenses:Food:Groceries,-100.00,FALSE,FALSE
10/4/2024,garlic,130.00,,Expenses:Food:Groceries,-130.00,FALSE,FALSE
10/4/2024,snow peas,90.00,,Expenses:Food:Groceries,-90.00,FALSE,FALSE
10/4/2024,mint,70.00,,Expenses:Food:Groceries,-70.00,FALSE,FALSE
10/4/2024,cherry tomato,150.00,,Expenses:Food:Groceries,-150.00,FALSE,FALSE
10/4/2024,tilapiya,420.00,,Expenses:Food:Groceries,-420.00,FALSE,FALSE
10/4/2024,pampano,690.00,,Expenses:Food:Groceries,-690.00,FALSE,FALSE
10/4/2024,salmon,880.00,,Expenses:Food:Groceries,-880.00,FALSE,FALSE
10/4/2024,talakitok,710.00,,Expenses:Food:Groceries,-710.00,FALSE,FALSE
10/4/2024,elmer,1000.00,,Expenses:Professional Fees,-1000.00,FALSE,FALSE
10/5/2024,ARC,660.00,,Expenses:Utilities:Drinking Water,-660.00,FALSE,FALSE
10/5/2024,Mam B Herbycin,272.00,,Expenses:Health:Medicines,-272.00,FALSE,FALSE
10/5/2024,Nadixa Cream (michelle),1900.00,,Expenses:Household Staff:Michelle:Others,-1900.00,FALSE,FALSE
10/5/2024,Angkas Michelle,200.00,,Expenses:Transportation:Public,-200.00,FALSE,FALSE
10/5/2024,Withdraw,,10000.00,Assets:Current Assets:Banks Local:BPI ATM House,10000.00,FALSE,FALSE
10/5/2024,ara food allowance,1000.00,,Liabilities:Other:Ara Loan:Allowance,-1000.00,FALSE,FALSE
10/5/2024,michelle food allowance,1000.00,,Liabilities:Other:Michelle Loan:Allowance,-1000.00,FALSE,FALSE
10/5/2024,Alessi Vitamins,1095.00,,Expenses:Health:Medicines,-1095.00,FALSE,FALSE
10/5/2024,H.O Cereal,590.00,,Expenses:Food:Groceries,-590.00,FALSE,FALSE
