Date,Description,Amount (Negated),Amount,Category,transaction_source
12/6/2024,"ZALORA, TAGUIG CITY, PH",,5625.19,Expenses:Clothes,credit_card
12/7/2024,"GRAB, MAKATI, PH",192,,Expenses:Transportation:Public,credit_card
12/7/2024,"MICROSOFT*MICROSOFT COPIL, MSBILL.INFO, SG",1300,,Expenses:Professional Development & Productivity,credit_card
12/7/2024,"SMART, MAKATI, PH",834,,Expenses:Utilities:Mobile,credit_card
12/7/2024,"SMART, MAKATI, PH",834,,Expenses:Utilities:Mobile,credit_card
12/7/2024,"SOUTH STAR DRUG, PASIG, PH",8764,,Expenses:Health:Medicines,credit_card
12/9/2024,"FOOD PANDA, MAKATI, PH",1554,,Expenses:Food:Dining,credit_card
12/9/2024,"FOOD PANDA, MAKATI, PH",868,,Expenses:Food:Dining,credit_card
12/9/2024,"FOOD PANDA, MAKATI, PH",612,,Expenses:Food:Dining,credit_card
12/9/2024,"GRAB, MAKATI, PH",100,,Expenses:Transportation:Public,credit_card
12/9/2024,"GRAB, MAKATI, PH",100,,Expenses:Transportation:Public,credit_card
12/9/2024,"LAZADA PH, MAKATI, PH",4066.85,,Expenses:Household Supplies,credit_card
12/9/2024,"Sharesight Limited RP, Wellington, NZ",558.96,,Expenses:Professional Development & Productivity,credit_card
12/9/2024,"VOICE IN PLUS, BENGALURU, IN",1497.75,,Expenses:Professional Development & Productivity,credit_card
12/10/2024,"GRAB, MAKATI, PH",103,,Expenses:Transportation:Public,credit_card
12/10/2024,"GRAB, MAKATI, PH",100,,Expenses:Transportation:Public,credit_card
12/10/2024,"PHILIPPINE AIRL-OON362, PASAY, PH",16404,,Expenses:Travel:Fare,credit_card
12/10/2024,"QANTAS AIR 0812363133892, MANILA, PH",57197,,Expenses:Travel:Fare,credit_card
12/10/2024,"QANTAS AIR 0814411243890, MANILA, PH",1665,,Expenses:Travel:Fare,credit_card
12/11/2024,"ASSURANCE VOYAGE, PARIS, FR",11769.98,,Expenses:Insurance:Travel Insurance,credit_card
12/11/2024,"FOOD PANDA, MAKATI, PH",849,,Expenses:Food:Dining,credit_card
