Date,Description,Category,Prediction_Confidence,Amount (Negated),Amount
7/1/2024,rolly salary,Expenses:Professional Fees,0.4146740646915614,3000.0,
7/3/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,20000.0
7/5/2024,bamboo diffuser,Expenses:Food:Groceries,0.5924523540346852,522.0,
7/5/2024,cupling,Expenses:Food:Groceries,0.5924523540346852,250.0,
7/5/2024,willy labor,Expenses:Professional Fees,0.5005076545221684,500.0,
7/5/2024,mam B,Expenses:Transportation:Parking,0.3883036069432881,60.0,
7/5/2024,elmer,Expenses:Housing:Gardening,0.32982721475893134,1000.0,
7/5/2024,santis rider,Expenses:Professional Fees,0.6082954488492883,250.0,
7/5/2024,yoghurt,Expenses:Food:Groceries,0.5924523540346852,228.0,
7/5/2024,milk,Expenses:Food:Groceries,0.6581732737363323,690.0,
7/5/2024,truffle,Expenses:Food:Groceries,0.5924523540346852,334.0,
7/5/2024,ham,Expenses:Food:Groceries,0.6381585435097096,242.0,
7/5/2024,ground beef,Expenses:Food:Groceries,0.63028428414777,1350.0,
7/5/2024,pork neck,Expenses:Food:Groceries,0.6359681426163365,938.0,
7/5/2024,strawberry,Expenses:Food:Groceries,0.611823456748144,280.0,
7/5/2024,grapes,Expenses:Food:Groceries,0.6318125419372487,250.0,
7/5/2024,white onion,Expenses:Food:Groceries,0.49166059409097346,160.0,
7/5/2024,leeks,Expenses:Food:Groceries,0.6249245719964497,65.0,
7/5/2024,ampalaya,Expenses:Food:Groceries,0.595336583037689,90.0,
7/5/2024,betroot,Expenses:Food:Groceries,0.595336583037689,180.0,
7/5/2024,potato,Expenses:Food:Groceries,0.6422482561315049,250.0,
7/5/2024,papaya,Expenses:Food:Groceries,0.6185820225931172,120.0,
7/5/2024,mushroom,Expenses:Food:Groceries,0.5924523540346852,180.0,
7/5/2024,french beans,Expenses:Food:Groceries,0.6371198335166683,120.0,
7/5/2024,bokchoy,Expenses:Food:Groceries,0.6038410567447209,70.0,
7/5/2024,snow peas,Expenses:Food:Groceries,0.6320688818169689,90.0,
7/5/2024,basil,Expenses:Food:Groceries,0.6382201934697517,100.0,
7/5/2024,mint,Expenses:Food:Groceries,0.6371048666091966,100.0,
7/5/2024,alugbati,Expenses:Food:Groceries,0.6320756034554432,45.0,
7/5/2024,spring onion,Expenses:Food:Groceries,0.6460692393299275,45.0,
7/5/2024,mango,Expenses:Food:Groceries,0.6383831355677004,160.0,
7/5/2024,romaine,Expenses:Food:Groceries,0.6381910941511871,560.0,
7/5/2024,cucumber,Expenses:Food:Groceries,0.6363742061727651,320.0,
7/5/2024,celery,Expenses:Food:Groceries,0.6412761117381017,180.0,
7/5/2024,apple,Expenses:Food:Groceries,0.5331196049042378,150.0,
