Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/1/2025,mozzarella ,508.0,,,12136,,,,household,Expenses:Food:Groceries,0.197066328401543
9/1/2025,bacon ,719.0,,,11417,,,,household,Expenses:Food:Groceries,0.2618448992273386
9/1/2025,hot dog bread ,58.0,,,11359,,,,household,Expenses:Food:Groceries,0.4539322626424079
9/1/2025,butter ,495.0,,,10864,,,,household,Expenses:Food:Groceries,0.3579153432943423
9/3/2025,gyoza sauce ,225.0,,,10639,,,,household,Expenses:Food:Groceries,0.197066328401543
9/3/2025,knife sharpening ,750.0,,,9889,,,,household,Expenses:Professional Fees,0.5934579510867024
9/3/2025,play date ice cream ,265.0,,,9624,,,,household,Expenses:Food:Dining,1.0
9/5/2025,metromart exceeded landmark ,475.0,,,9149,,,,household,Expenses:Household Supplies,0.6536877666301905
9/5/2025,snr exceeded ,26.0,,,9123,,,,household,Expenses:Food:Groceries,0.197066328401543
9/5/2025,ritual soap ,2400.0,,,6723,,,,household,Expenses:Household Supplies,1.0
9/5/2025,delivery fee ,250.0,,,6473,,,,household,Expenses:Professional Fees,0.871994723285006
9/5/2025,withdraw,,19000.0,,25473,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/5/2025,santis raider ,250.0,,,25223,,,,household,Expenses:Professional Fees,1.0
9/5/2025,milk ,828.0,,,24395,,,,household,Expenses:Food:Groceries,0.6543816949887199
9/5/2025,pork tenderloin ,884.0,,,23511,,,,household,Expenses:Food:Groceries,0.5365865283921761
9/5/2025,gouda mild,127.0,,,23384,,,,household,Expenses:Food:Groceries,0.2978447375216533
9/5/2025,forest ham ,232.0,,,23152,,,,household,Expenses:Food:Groceries,0.6146716360923914
9/5/2025,prosciutto ,259.0,,,22893,,,,household,Expenses:Food:Groceries,0.197066328401543
9/5/2025,prosciutto ,264.0,,,22629,,,,household,Expenses:Food:Groceries,0.197066328401543
9/5/2025,alessi sticker ,325.0,,,22304,,,,household,Expenses:Childcare:School Supplies,1.0
9/5/2025,alessi snacks ,95.0,,,22209,,,,household,Expenses:Food:Groceries,1.0
9/5/2025,alessi sando,980.0,,,21229,,,,household,Expenses:Childcare:Clothes,0.3902918201999947
9/5/2025,flowers ,550.0,,,20679,,,,household,Expenses:Food:Groceries,0.3103271973168712
9/5/2025,egg large ,430.0,,,20249,,,,household,Expenses:Food:Groceries,0.6142585953246431
9/5/2025,grapes ,360.0,,,19889,,,,household,Expenses:Food:Groceries,0.4862950104536661
9/5/2025,spinach ,280.0,,,19609,,,,household,Expenses:Food:Groceries,0.4272355195970754
9/5/2025,cabbage ,220.0,,,19389,,,,household,Expenses:Food:Groceries,0.3695656908589362
9/5/2025,baguio beans ,160.0,,,19229,,,,household,Expenses:Food:Groceries,0.5204509689727995
9/5/2025,patatas ,400.0,,,18829,,,,household,Expenses:Food:Groceries,0.3162027198558127
9/5/2025,bell pepper green,380.0,,,18449,,,,household,Expenses:Food:Groceries,0.6434707920554242
9/5/2025,bell pepper red ,280.0,,,18169,,,,household,Expenses:Food:Groceries,0.6222283077728056
9/5/2025,avocado ,160.0,,,18009,,,,household,Expenses:Food:Groceries,0.5191875661305559
9/5/2025,carrots ,280.0,,,17729,,,,household,Expenses:Food:Groceries,0.4590587878183148
9/5/2025,tanglad ,100.0,,,17629,,,,household,Expenses:Food:Groceries,0.3569368000034545
9/5/2025,kamatis ,200.0,,,17429,,,,household,Expenses:Food:Groceries,0.2064511101820284
9/5/2025,pechay ,120.0,,,17309,,,,household,Expenses:Food:Groceries,0.2654118621904086
9/5/2025,basil ,100.0,,,17209,,,,household,Expenses:Food:Groceries,0.4866852836349109
9/5/2025,zucchini ,180.0,,,17029,,,,household,Expenses:Food:Groceries,0.4005461296089543
9/5/2025,garlic ,100.0,,,16929,,,,household,Expenses:Food:Groceries,0.3362132832459981
9/5/2025,wansoy ,180.0,,,16749,,,,household,Expenses:Food:Groceries,0.5141711893715163
9/5/2025,labanos ,100.0,,,16649,,,,household,Expenses:Food:Groceries,0.29596380897453
9/5/2025,salted egg ,180.0,,,16469,,,,household,Expenses:Food:Groceries,0.6142585953246431
9/5/2025,pineapple ,230.0,,,16239,,,,household,Expenses:Food:Groceries,0.264932423146946
9/5/2025,japanese cucumber ,320.0,,,15919,,,,household,Expenses:Food:Groceries,0.5344865595201712
9/5/2025,romaine ,380.0,,,15539,,,,household,Expenses:Food:Groceries,0.5666799794388246
9/5/2025,green mango ,360.0,,,15179,,,,household,Expenses:Food:Groceries,0.4977967856016296
9/5/2025,banana ,270.0,,,14909,,,,household,Expenses:Food:Groceries,0.5018102436816979
9/5/2025,broccoli ,430.0,,,14479,,,,household,Expenses:Food:Groceries,0.4843412097041318
9/5/2025,onion white ,160.0,,,14319,,,,household,Expenses:Food:Groceries,0.6267073808492359
9/5/2025,apple ,150.0,,,14169,,,,household,Expenses:Food:Groceries,0.6279991296797853
9/5/2025,pomelo ,230.0,,,13939,,,,household,Expenses:Food:Groceries,0.5614178674074384
9/5/2025,sayote ,100.0,,,13839,,,,household,Expenses:Food:Groceries,0.3162048943039715
9/5/2025,orange ,100.0,,,13739,,,,household,Expenses:Food:Groceries,0.492737857605803
9/5/2025,curly lettuce ,180.0,,,13559,,,,household,Expenses:Food:Groceries,0.360993032533162
9/5/2025,iceberg ,280.0,,,13279,,,,household,Expenses:Food:Groceries,0.197066328401543
9/5/2025,asparagus ,460.0,,,12819,,,,household,Expenses:Food:Groceries,0.5018215827883884
9/5/2025,calamansi ,75.0,,,12744,,,,household,Expenses:Food:Groceries,0.4893724666400914
9/5/2025,green chili ,120.0,,,12624,,,,household,Expenses:Food:Groceries,0.3862896631784162
9/5/2025,talong ,160.0,,,12464,,,,household,Expenses:Food:Groceries,0.2957576464791543
9/5/2025,kalabasa ,130.0,,,12334,,,,household,Expenses:Food:Groceries,0.3746536957681214
9/5/2025,lemon ,100.0,,,12234,,,,household,Expenses:Food:Groceries,0.6202249766137953
9/5/2025,onion leeks ,80.0,,,12154,,,,household,Expenses:Food:Groceries,0.6637462851009045
9/5/2025,bangus ,520.0,,,11634,,,,household,Expenses:Food:Groceries,0.4806336250514455
9/5/2025,maya-maya fish fillet ,650.0,,,10984,,,,household,Expenses:Food:Groceries,0.5399697160540246
9/5/2025,elmer salary ,1000.0,,,9984,,,,household,Expenses:Professional Fees,0.8043961746880711
9/5/2025,ara food allowance,1000.0,,,8984,,,,household,Liabilities:Other:Ara Loan:Allowance,0.7526524479669621
9/5/2025,michelle food allowance ,1000.0,,,7984,,,,household,Liabilities:Other:Michelle Loan:Allowance,0.9847549554372133
9/6/2025,playdate lunch,1198.0,,,6786,,,,household,Expenses:Food:Dining,0.8428695428192367
9/6/2025,summit water ,1010.0,,,5776,,,,household,Expenses:Utilities:Drinking Water,0.780256815948157
9/6/2025,ARC,780.0,,4996.0,4996,0.0,,,household,Expenses:Utilities:Drinking Water,0.8737263549888904
9/6/2025,withdraw ,,10000.0,,14996,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/8/2025,mason jar lids ,856.0,,,14140,,,,household,Expenses:Household Supplies,1.0
9/8/2025,shadow Gabapentin ,890.0,,,13250,,,,household,Expenses:Household Supplies:Pet Expenses,1.0
9/8/2025,catnip,20.0,,,13230,,,,household,Expenses:Household Supplies:Pet Expenses,1.0
9/8/2025,manual food processor ,175.0,,,13055,,,,household,Expenses:Household Supplies,1.0
