DATE,DESCRIPTION,DEBIT,CREDIT,transaction_source,predicted_category,confidence
2025-08-08,Merchant Installment Interest Charges,0.92,0.0,credit_card,Expenses:Banking Costs:Interest,0.8543521951271208
2025-08-08,Interest Charges,4149.52,0.0,credit_card,Expenses:Banking Costs:Interest,0.8543521951271208
2025-08-07,"AUST HLTH MGMT GRP P/L, WOLLONGONG, AU (AUD 13.50)",521.09,0.0,credit_card,Expenses:Travel:Others,0.156182217198298
2025-08-07,"Spotify P394E231CB, Stockholm, SE",279.0,0.0,credit_card,Expenses:Entertainment:Music/Movies,0.8210900019232401
2025-08-06,"PAYPAL *PLAYSTATION, 4029357733, US",1507.21,0.0,credit_card,Expenses:Entertainment:Recreation,0.40459833010062
2025-08-06,"LAZADA PH, MAKATI, PH",3836.0,0.0,credit_card,Expenses:Household Supplies,0.8570305376270201
2025-08-05,"NAT SCIENCE & TECH CTR, PARKES, AU (AUD 125.00)",4885.66,0.0,credit_card,Expenses:Childcare:Extracurricular Activities,0.4932504033250089
2025-08-05,"ASICS Brisbane Airport, Brisb_Airport, AU (AUD 15.00)",582.53,0.0,credit_card,Expenses:Gifts,0.2859671145747798
2025-08-05,"LOTTE TR BRISBANE AI, EAGLE FARM, AU (AUD 55.70)",2163.1,0.0,credit_card,Expenses:Gifts,0.4932088373533529
2025-08-05,"TAXIPAY AUSTRALIA, MASCOT, AU (AUD 34.18)",1327.38,0.0,credit_card,Expenses:Travel:Others,0.3157240466658468
2025-08-05,"ASICS Brisbane Airport, Brisb_Airport, AU (AUD 15.00)",582.53,0.0,credit_card,Expenses:Gifts,0.2859671145747798
2025-08-05,"LS Sings Asian Kitche, Coorparoo, AU (AUD 112.00)",4349.5,0.0,credit_card,Expenses:Food:Dining,0.1796528719621039
2025-08-05,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 12.27)",476.51,0.0,credit_card,Expenses:Travel:Taxi/Car Rental,0.4634268046086775
2025-08-05,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 19.85)",770.87,0.0,credit_card,Expenses:Travel:Taxi/Car Rental,0.4619090450908478
