Date,Description,Amount (Negated),Amount,Classification
2025-09-08,"VNPAY THIAGODANANG, DA NANG, VN (VND 278,100.00)",622.85,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"CT TNHH DV AN UONG HOA DO, DA NANG, VN (VND 1,193,000.00)",2671.91,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Spotify P3A4C6EC1C, Stockholm, SE",279.0,0.0,Expenses:Entertainment:Music/Movies
2025-09-08,"Grab* A-8B343SLGW6M2AV, HA NOI, VN (VND 116,480.00)",260.87,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Grab* A-8B343SLGW6M2AV, HA NOI, VN (VND 9,360.00)",20.96,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"000000062796867 (VND 235,000.00)",526.32,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Grab* A-8B6WDI5WX52EAV, HA NOI, VN (VND 28,080.00)",62.89,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Grab* A-8B7CNP7WWSQSAV, HA NOI, VN (VND 53,040.00)",118.8,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Grab* A-8B9M5LVGW2ABAV, HA NOI, VN (VND 37,440.00)",83.86,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"Grab* A-8B9OHS9GWQVMAV, HA NOI, VN (VND 94,640.00)",211.96,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-08,"fp*Food Panda, https://wwwde, PH",1547.0,0.0,Expenses:Food:Dining
2025-09-08,"BOM GOSTO PODIUM, MANDALUYONG, PH",4409.38,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-06,"LAZADA PH, MAKATI, PH",4695.38,0.0,Expenses:Household Supplies
2025-09-06,"METROMART, MAKATI, PH",13559.65,0.0,Expenses:Food:Groceries
2025-09-06,"IMG INSURANCE, 866-347-6673, US (USD 63.60)",3763.32,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-06,"AIRALO, SINGAPORE, SG (USD 11.50)",680.47,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-05,"VPN* K7GNFM1XTB, GOTHENBURG, S, SE (USD 5.83)",344.97,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-04,"ZALORA, TAGUIG CITY, PH",0.0,2369.15,Expenses:Clothes
2025-09-04,"LAZADA PH, MAKATI, PH",0.0,370.0,Expenses:Household Supplies
2025-09-04,Online Bills Payment to PLDT,691.75,0.0,Expenses:Utilities:Phone
2025-09-04,"fp*Food Panda, https://wwwde, PH",2392.5,0.0,Expenses:Food:Dining
2025-09-03,Online Bills Payment to MERALCO (10-DIGIT ACCOUNT NUMBER),34331.35,0.0,Expenses:Utilities:Electric
2025-09-03,Online Bills Payment to PLDT,2699.0,0.0,Expenses:Travel:Internet
2025-09-03,"LAZADA PH, MAKATI, PH",2541.5,0.0,Expenses:Household Supplies
2025-09-03,"LAZADA PH, MAKATI, PH",637.95,0.0,Expenses:Household Supplies
2025-09-03,"LAZADA PH, MAKATI, PH",1543.0,0.0,Expenses:Household Supplies
2025-09-02,"INTERCARE CHIROPRACTIC MA, MAKATI CITY, PH",11000.0,0.0,Expenses:Health:Alternative
2025-09-02,"GRAB, MAKATI, PH",154.0,0.0,Expenses:Transportation:Public
2025-09-02,"GRAB, MAKATI, PH",21.0,0.0,Expenses:Transportation:Public
2025-09-01,"SMART, MAKATI, PH",621.54,0.0,Expenses:Utilities:Mobile
2025-09-01,"Gopay-Gojek, DKI Jakarta, ID (IDR 313,000.00)",1128.74,0.0,Expenses:Travel:Taxi/Car Rental
2025-09-01,"PT DUFRINDO MBL, BADUNG - BALI, ID (IDR 563,500.00)",2032.1,0.0,Expenses:Gifts
2025-09-01,"fp*Food Panda, https://wwwde, PH",1169.0,0.0,Expenses:Food:Dining
2025-09-01,"LAZADA PH, MAKATI, PH",7155.48,0.0,Expenses:Household Supplies
2025-09-01,"LAZADA PH, MAKATI, PH",1172.5,0.0,Expenses:Household Supplies
2025-09-01,"LAZADA PH, MAKATI, PH",439.13,0.0,Expenses:Household Supplies
2025-09-01,"SHOPEE PH, MANDALUYONG, PH",768.0,0.0,Expenses:Household Supplies
2025-09-01,"fp*Food Panda, https://wwwde, PH",919.0,0.0,Expenses:Food:Dining
2025-08-30,"PAYPAL *PLAYSTATION, 4029357733, US",589.48,0.0,Expenses:Entertainment:Recreation
2025-08-30,"MAKATI MED ANE, MAKATI, PH",8300.0,0.0,Expenses:Health:Doctor
2025-08-30,"SARI CANGGU, Badung, ID (IDR 58,300.00)",210.24,0.0,Expenses:Food:Dining
2025-08-30,"GRIPP-CANGGU HO, BADUNG, ID (IDR 99,000.00)",357.02,0.0,Expenses:Clothes
2025-08-30,"SUNSET POINT CAFE MBL, BADUNG - BALI, ID (IDR 151,800.00)",547.42,0.0,Expenses:Food:Dining
2025-08-30,"Gopay-Gojek, DKI Jakarta, ID (IDR 310,500.00)",1119.73,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-30,"ASIAN HOSPITAL, MUNTINLUPA, PH",5000.0,0.0,Expenses:Health:Doctor
2025-08-29,"PAYPAL *MYOFFICE, 4029357733, SG",1680.0,0.0,Assets:Investments:Investment in Business
2025-08-29,"PADDLE.NET* ADBLCKPLUS, London, GB (USD 44.80)",2641.15,0.0,Expenses:Professional Development & Productivity
2025-08-27,"IKINARI STEAK ADC, MAKATI, PH",668.32,0.0,Expenses:Food:Dining
2025-08-27,"Adobe, Saggart, Dubl, IE",1261.12,0.0,Expenses:Professional Development & Productivity
2025-08-26,"LAZADA PH, MAKATI, PH",514.28,0.0,Expenses:Household Supplies
2025-08-26,"OCEAN BLUE LOUNGE, PANGLAO, PH",336.0,0.0,Expenses:Food:Dining
2025-08-26,"THECHOCOLATECHAMBER, PANGLAO, PH",885.0,0.0,Expenses:Food:Groceries
2025-08-26,"THE BUZZ CAFE, PANGLAO, PH",90.0,0.0,Expenses:Food:Dining
2025-08-26,"THECHOCOLATECHAMBER, PANGLAO, PH",935.0,0.0,Expenses:Food:Groceries
2025-08-26,"OCEANICA RESORT-FO, PANGLAO, PH",1000.0,0.0,Expenses:Food:Dining
2025-08-26,"OCEANICA RESORT COASTBAR, PANGLAO, PH",1670.0,0.0,Expenses:Food:Dining
2025-08-26,"SOUTH PALMS, BOHOL, PH",2830.0,0.0,Expenses:Food:Dining
2025-08-26,"THE BUZZZ CAFE, BOHOL, PH",270.0,0.0,Expenses:Food:Dining
2025-08-26,"OCEAN SUITES 2, TAGBILARAN, PH",3446.0,0.0,Expenses:Food:Dining
2025-08-26,"CALTEX BOHOL JL, DAUIS, PH",3203.59,0.0,Expenses:Transportation:Gas
2025-08-26,"fp*Food Panda, https://wwwde, PH",2047.0,0.0,Expenses:Food:Dining
2025-08-26,"PADDLE.NET* CRASHPLAN, London, GB (USD 22.38)",1314.1,0.0,Expenses:Professional Development & Productivity
2025-08-26,"GRAB, MAKATI, PH",477.0,0.0,Expenses:Transportation:Public
2025-08-26,"GRAB, MAKATI, PH",45.0,0.0,Expenses:Transportation:Public
2025-08-26,"FLEXX INVESTMENTS LTD, HOVE, GB (USD 24.35)",1429.76,0.0,Expenses:Professional Development & Productivity
2025-08-25,BPI BILLS PAYMENT -EONLINE & EMOBILE,0.0,509299.76,Assets:Current Assets:Banks Local:BPI Household
2025-08-23,"OCEANICA RESORT-FO, PANGLAO, PH",1000.0,0.0,Expenses:Food:Dining
2025-08-23,"OCEANICA RESORT COASTBAR, PANGLAO, PH",611.0,0.0,Expenses:Food:Dining
2025-08-22,"SHOPEE PH, MANDALUYONG, PH",1878.0,0.0,Expenses:Household Supplies
2025-08-22,"GRAB, MAKATI, PH",45.0,0.0,Expenses:Transportation:Public
2025-08-22,"GRAB, MAKATI, PH",464.0,0.0,Expenses:Transportation:Public
2025-08-22,Online Bills Payment to SMART/SUN,1073.0,0.0,Expenses:Utilities:Mobile
2025-08-20,"METROMART, MAKATI, PH",0.0,1502.55,Expenses:Food:Groceries
2025-08-20,"METROMART, MAKATI, PH",11246.64,0.0,Expenses:Food:Groceries
2025-08-20,"LAZADA PH, MAKATI, PH",1452.25,0.0,Expenses:Household Supplies
2025-08-20,"ZALORA, TAGUIG CITY, PH",2369.15,0.0,Expenses:Clothes
2025-08-20,"PAO BREW CAFE, MAKATI, PH",385.0,0.0,Expenses:Food:Dining
2025-08-19,"PAYPAL *THEMALATREE, 4029357733, SG",4590.0,0.0,Expenses:Miscellaneous:Unaccounted
2025-08-19,"PETRON DASMA MAKATI, MAKATI, PH",2737.6,0.0,Expenses:Utilities:Gas
2025-08-19,"INTERCARE CHIROPRACTIC MA, MAKATI CITY, PH",4200.0,0.0,Expenses:Health:Alternative
2025-08-19,"INOSHO, MAKATI, PH",3926.88,0.0,Expenses:Food:Dining
