Date,Description,Amount (Negated),Amount,Classification
2025-10-08,"LAZADA PH, MAKATI, PH",678.5,0.0,Expenses:Household Supplies
2025-10-08,"LAZADA PH, MAKATI, PH",2060.07,0.0,Expenses:Household Supplies
2025-10-07,"LAZADA PH, MAKATI, PH",0.0,1931.59,Expenses:Household Supplies
2025-10-07,"ALLIED MOVNG SERVICES, DANDENONG, AU (AUD 371.86)",14772.7,0.0,Expenses:Housing:Storage
2025-10-07,"SOUTH STAR DRUG, PASIG, PH",2607.5,0.0,Expenses:Health:Medicines
2025-10-07,"Spotify P3B4353D0A, Stockholm, SE",281.79,0.0,Expenses:Entertainment:Music/Movies
2025-10-06,"LAZADA PH, MAKATI, PH",0.0,1166.5,Expenses:Household Supplies
2025-10-06,"LAZADA PH, MAKATI, PH",2684.53,0.0,Expenses:Household Supplies
2025-10-06,"LAZADA PH, MAKATI, PH",1949.5,0.0,Expenses:Household Supplies
2025-10-06,"PETRON DASMA MAKATI, MAKATI, PH",2509.85,0.0,Expenses:Utilities:Gas
2025-10-04,Online Bills Payment to PLDT,691.75,0.0,Expenses:Utilities:Phone
2025-10-04,"fp*Food Panda, https://wwwde, PH",1855.9,0.0,Expenses:Food:Dining
2025-10-04,"GRAB, MAKATI, PH",1023.0,0.0,Expenses:Food:Dining
2025-10-04,"ZALORA, TAGUIG CITY, PH",9022.41,0.0,Expenses:Clothes
2025-10-03,Online Bills Payment to PLDT,2699.0,0.0,Expenses:Travel:Internet
2025-10-03,"INTERCARE CHIROPRACTIC MA, MAKATI CITY, PH",5500.0,0.0,Expenses:Health:Alternative
2025-10-03,"XIAOTAIPEI CORPORATION, MAKATI CITY, PH",684.0,0.0,Expenses:Food:Dining
2025-10-02,"LAZADA PH, MAKATI, PH",1281.97,0.0,Expenses:Household Supplies
2025-10-02,"LAZADA PH, MAKATI, PH",3185.5,0.0,Expenses:Household Supplies
2025-10-02,"LAZADA PH, MAKATI, PH",3503.26,0.0,Expenses:Household Supplies
2025-10-01,Online Bills Payment to MERALCO (10-DIGIT ACCOUNT NUMBER),33901.74,0.0,Expenses:Utilities:Electric
2025-10-01,"GO SALADS, QUEZON, PH",403.75,0.0,Expenses:Food:Dining
