Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
12/31/2018,Opening Balance,0,8946.00,Equity:Opening Balance:PHP,8946.00,TRUE,TRUE
1/2/2019,Taxi Serendra,200.00,0,Expenses:Transportation:Public,-200.00,TRUE,TRUE
1/2/2019,1411 ATM W I T H D R A W A L 438,0,4000.00,Assets:Current Assets:Banks Local:BPI ATM House,4000.00,TRUE,TRUE
1/2/2019,1411 ATM W I T H D R A W A L 438,0,14000.00,Assets:Current Assets:Banks Local:BPI ATM House,14000.00,TRUE,TRUE
1/2/2019,Balance readjustment,18000.00,0,Equity:Opening Balance:PHP,-18000.00,TRUE,TRUE
1/4/2019,Rolly Salary,2000.00,0,Expenses:Housing:Pool Services,-2000.00,TRUE,TRUE
1/4/2019,Ara Allowance,500.00,0,Expenses:Household Staff:Ara:Allowance,-500.00,TRUE,TRUE
1/4/2019,Elmer Salary,700.00,0,Expenses:Housing:Gardening,-700.00,TRUE,TRUE
1/4/2019,Kale,300.00,0,Expenses:Food:Groceries,-300.00,TRUE,TRUE
1/4/2019,Marie Allowance,500.00,0,Expenses:Household Staff:Marie:Allowance,-500.00,TRUE,TRUE
1/4/2019,Sanlo Market,877.00,0,Expenses:Food:Groceries,-877.00,TRUE,TRUE
1/4/2019,Withdraw/CASH/FUND,0,1500.00,Assets:Current Assets:Banks Local:BPI ATM House,1500.00,TRUE,TRUE
1/5/2019,Delivery Pay,112.00,0,Expenses:Household Supplies,-112.00,TRUE,TRUE
1/5/2019,Salcedo Market,600.00,0,Expenses:Food:Groceries,-600.00,TRUE,TRUE
1/8/2019,Return Fr Kale,0,300.00,Expenses:Food:Groceries,300.00,TRUE,TRUE
1/8/2019,Bagger,30.00,0,Expenses:Food:Groceries,-30.00,TRUE,TRUE
1/8/2019,Load Ara,50.00,0,Expenses:Household Staff:Ara:Load,-50.00,TRUE,TRUE
1/8/2019,Load Marie,50.00,0,Expenses:Household Staff:Marie:Load,-50.00,TRUE,TRUE
1/8/2019,taxi,100.00,0,Expenses:Transportation:Public,-100.00,TRUE,TRUE
1/10/2019,Withdraw/CASH/FUND,0,2700.00,Assets:Current Assets:Banks Local:BPI ATM House,2700.00,TRUE,TRUE
1/10/2019,"Ara SSS , Philhealth",2258.00,0,Expenses:Household Staff:Ara:Benefits,-2258.00,TRUE,TRUE
1/11/2019,Alessi,500.00,0,Expenses:Food:Groceries,-500.00,TRUE,TRUE
1/11/2019,Ara Allowance,500.00,0,Expenses:Household Staff:Ara:Allowance,-500.00,TRUE,TRUE
1/11/2019,Marie Allowance,500.00,0,Expenses:Household Staff:Marie:Allowance,-500.00,TRUE,TRUE
1/11/2019,Sanlo Market,483.00,0,Expenses:Food:Groceries,-483.00,TRUE,TRUE
1/11/2019,Withdraw/CASH/FUND,0,6500.00,Assets:Current Assets:Banks Local:BPI ATM House,6500.00,TRUE,TRUE
1/11/2019,Cynergy Spa,2600.00,0,Expenses:Health:Alternative,-2600.00,TRUE,TRUE
1/11/2019,Deposit Nuts,1695.00,0,Expenses:Food:Groceries,-1695.00,TRUE,TRUE
1/11/2019,Elmer Salary,700.00,0,Expenses:Housing:Gardening,-700.00,TRUE,TRUE
1/11/2019,Knife Sharp,300.00,0,Expenses:Professional Fees,-300.00,TRUE,TRUE
1/12/2019,Gasul,699.00,0,Expenses:Household Supplies,-699.00,TRUE,TRUE
1/12/2019,Mincos 5gal,700.00,0,Expenses:Utilities:Drinking Water,-700.00,TRUE,TRUE
1/12/2019,Shopwise,369.20,0,Expenses:Food:Groceries,-369.20,TRUE,TRUE
1/15/2019,Ara Salary,4000.00,0,Expenses:Household Staff:Ara:Basic,-4000.00,TRUE,TRUE
1/15/2019,"Marie Salary Less 1,000",4000.00,0,Split Transaction,-4000.00,TRUE,TRUE
1/15/2019,Taxi,100.00,0,Expenses:Transportation:Public,-100.00,TRUE,TRUE
1/15/2019,Withdraw/CASH/FUND,0,8000.00,Assets:Current Assets:Banks Local:BPI ATM House,8000.00,TRUE,TRUE
1/15/2019,Bagger,20.00,0,Expenses:Food:Groceries,-20.00,TRUE,TRUE
1/15/2019,Load Ara,50.00,0,Expenses:Household Staff:Ara:Load,-50.00,TRUE,TRUE
1/15/2019,Load Marie,50.00,0,Expenses:Household Staff:Marie:Load,-50.00,TRUE,TRUE
1/18/2019,Sanlo Market,685.00,0,Expenses:Food:Groceries,-685.00,TRUE,TRUE
1/18/2019,Withdraw/CASH/FUND,0,5400.00,Assets:Current Assets:Banks Local:BPI ATM House,5400.00,TRUE,TRUE
1/18/2019,Elmer Salary,700.00,0,Expenses:Housing:Gardening,-700.00,TRUE,TRUE
1/18/2019,Food Allowance Ara,500.00,0,Expenses:Household Staff:Ara:Allowance,-500.00,TRUE,TRUE
1/18/2019,Food Allowance Marie,500.00,0,Expenses:Household Staff:Marie:Allowance,-500.00,TRUE,TRUE
1/18/2019,Kale,300.00,0,Expenses:Food:Groceries,-300.00,TRUE,TRUE
1/18/2019,Plant,750.00,0,Expenses:Household Supplies,-750.00,TRUE,TRUE
1/20/2019,Mincos,440.00,0,Expenses:Utilities:Drinking Water,-440.00,TRUE,TRUE
1/22/2019,Ara Shopping,1500.00,0,Expenses:Household Staff:Ara:Allowance,-1500.00,TRUE,TRUE
1/22/2019,bagger,20.00,0,Expenses:Food:Groceries,-20.00,TRUE,TRUE
1/22/2019,Japan Home,420.00,0,Expenses:Household Supplies,-420.00,TRUE,TRUE
1/22/2019,Load Ara,50.00,0,Expenses:Household Staff:Ara:Load,-50.00,TRUE,TRUE
1/22/2019,Load Marie,50.00,0,Expenses:Household Staff:Marie:Load,-50.00,TRUE,TRUE
1/22/2019,Sharp Knife,400.00,0,Expenses:Professional Fees,-400.00,TRUE,TRUE
1/22/2019,Taxi Serendra,100.00,0,Expenses:Transportation:Public,-100.00,TRUE,TRUE
1/23/2019,"Change 1,500 Funding",0,438.50,Assets:Current Assets:Cash Local:Cash in Wallet (BE),438.50,TRUE,TRUE
1/24/2019,Toy Kingdom,1252.75,0,Expenses:Childcare:Toys,-1252.75,TRUE,TRUE
1/24/2019,Withdraw/CASH/FUND,0,2000.00,Assets:Current Assets:Banks Local:BPI ATM House,2000.00,TRUE,TRUE
1/25/2019,Sanlo Market,832.00,0,Expenses:Food:Groceries,-832.00,TRUE,TRUE
1/25/2019,Withdraw/CASH/FUND,0,4400.00,Assets:Current Assets:Banks Local:BPI ATM House,4400.00,TRUE,TRUE
1/25/2019,Elmer Salary,700.00,0,Expenses:Housing:Gardening,-700.00,TRUE,TRUE
1/25/2019,Food Allowance Alessi,500.00,0,Expenses:Food:Groceries,-500.00,TRUE,TRUE
1/25/2019,Food Allowance Ara,500.00,0,Expenses:Household Staff:Ara:Allowance,-500.00,TRUE,TRUE
1/25/2019,Food Marie,500.00,0,Expenses:Household Staff:Marie:Allowance,-500.00,TRUE,TRUE
1/26/2019,MiniStop ice,76.00,0,Expenses:Food:Groceries,-76.00,TRUE,TRUE
1/26/2019,Japan Home,198.00,0,Expenses:Household Supplies,-198.00,TRUE,TRUE
1/26/2019,Mincos,360.00,0,Expenses:Utilities:Drinking Water,-360.00,TRUE,TRUE
1/26/2019,Salcedo Market,730.00,0,Expenses:Food:Groceries,-730.00,TRUE,TRUE
1/29/2019,Hardware Landmark,223.50,0,Expenses:Household Supplies,-223.50,TRUE,TRUE
1/29/2019,TAXI,100.00,0,Expenses:Transportation:Public,-100.00,TRUE,TRUE
1/29/2019,Bagger,20.00,0,Expenses:Food:Groceries,-20.00,TRUE,TRUE
1/29/2019,Balance Marie,0.50,0,Expenses:Miscellaneous:Adjustment,-0.50,TRUE,TRUE
1/29/2019,Load,50.00,0,Expenses:Utilities:Mobile,-50.00,TRUE,TRUE
1/29/2019,Load,50.00,0,Expenses:Utilities:Mobile,-50.00,TRUE,TRUE
1/31/2019,Ara Salary,4000.00,0,Expenses:Household Staff:Ara:Basic,-4000.00,TRUE,TRUE
1/31/2019,Withdraw/CASH/FUND,0,15300.00,Assets:Current Assets:Banks Local:BPI ATM House,15300.00,TRUE,TRUE
1/31/2019,Balance Marie,0.05,0,Expenses:Miscellaneous:Adjustment,-0.05,TRUE,TRUE
1/31/2019,Food Allowance,500.00,0,Expenses:Household Staff:Marie:Allowance,-500.00,TRUE,TRUE
1/31/2019,Food Allowance Alessi,500.00,0,Expenses:Food:Groceries,-500.00,TRUE,TRUE
1/31/2019,Food Allowance Ara,500.00,0,Expenses:Household Staff:Ara:Allowance,-500.00,TRUE,TRUE
1/31/2019,"Marie Salary Less 1,000",4000.00,0,Split Transaction,-4000.00,TRUE,TRUE
1/31/2019,Balancing entry from reconciliation,0,400.00,Expenses:Miscellaneous:Adjustment,400.00,TRUE,TRUE
2/1/2019,Gasul,740.00,0,Expenses:Household Supplies,-740.00,TRUE,TRUE
2/1/2019,Elmer Salary,700.00,0,Expenses:Housing:Gardening,-700.00,TRUE,TRUE
2/1/2019,lalamove,108.00,0,Expenses:Professional Fees,-108.00,TRUE,TRUE
2/1/2019,Sanlo Market,672.00,0,Expenses:Food:Groceries,-672.00,TRUE,TRUE
2/2/2019,Mincos,440.00,0,Expenses:Utilities:Drinking Water,-440.00,TRUE,TRUE
2/2/2019,NBI Marie,140.00,0,Expenses:Household Staff:Marie:Others,-140.00,TRUE,TRUE
2/2/2019,Salcedo Market,310.00,0,Expenses:Food:Groceries,-310.00,TRUE,TRUE
2/4/2019,Rolly Salary,2000.00,0,Expenses:Housing:Pool Services,-2000.00,TRUE,TRUE
2/5/2019,Ara Load,50.00,0,Expenses:Household Staff:Ara:Load,-50.00,TRUE,TRUE
2/5/2019,bagger,20.00,0,Expenses:Food:Groceries,-20.00,TRUE,TRUE
2/5/2019,Holiday Pay Ara Chinese,650.00,0,Expenses:Household Staff:Ara:OT,-650.00,TRUE,TRUE
2/5/2019,Holiday Pay Marie,650.00,0,Expenses:Household Staff:Marie:OT,-650.00,TRUE,TRUE
2/5/2019,Marie Load,50.00,0,Expenses:Household Staff:Marie:Load,-50.00,TRUE,TRUE
2/5/2019,Withdraw/CASH/FUND,0,1500.00,Assets:Current Assets:Banks Local:BPI ATM House,1500.00,TRUE,TRUE
2/5/2019,TAXI,100.00,0,Expenses:Transportation:Public,-100.00,TRUE,TRUE
2/7/2019,Marie Pay SSS Philhealth,4858.00,0,Expenses:Household Staff:Marie:Benefits,-4858.00,TRUE,TRUE
2/7/2019,Philpost,114.00,0,Expenses:Professional Fees,-114.00,TRUE,TRUE
2/7/2019,Withdraw/CASH/FUND,0,5000.00,Assets:Current Assets:Banks Local:BPI ATM House,5000.00,TRUE,TRUE
