Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
12/31/2018,Opening Balance,0.0,8946.0,Equity:Opening Balance:PHP,8946.0,True,True
1/2/2019,1411 ATM W I T H D R A W A L 438,0.0,14000.0,Assets:Current Assets:Banks Local:BPI ATM House,14000.0,True,True
1/2/2019,Balance readjustment,18000.0,0.0,Equity:Opening Balance:PHP,-18000.0,True,True
1/5/2019,Delivery Pay,112.0,0.0,Expenses:Household Supplies,-112.0,True,True
1/8/2019,Return Fr Kale,0.0,300.0,Expenses:Food:Groceries,300.0,True,True
1/10/2019,"Ara SSS , Philhealth",2258.0,0.0,Expenses:Household Staff:Ara:Benefits,-2258.0,True,True
1/11/2019,Cynergy Spa,2600.0,0.0,Expenses:Health:Alternative,-2600.0,True,True
1/11/2019,Deposit Nuts,1695.0,0.0,Expenses:Food:Groceries,-1695.0,True,True
1/18/2019,Plant,750.0,0.0,Expenses:Household Supplies,-750.0,True,True
1/22/2019,Ara Shopping,1500.0,0.0,Expenses:Household Staff:Ara:Allowance,-1500.0,True,True
1/22/2019,Taxi Serendra,100.0,0.0,Expenses:Transportation:Public,-100.0,True,True
1/23/2019,"Change 1,500 Funding",0.0,438.5,Assets:Current Assets:Cash Local:Cash in Wallet (BE),438.5,True,True
1/24/2019,Toy Kingdom,1252.75,0.0,Expenses:Childcare:Toys,-1252.75,True,True
1/29/2019,Hardware Landmark,223.5,0.0,Expenses:Household Supplies,-223.5,True,True
2/2/2019,NBI Marie,140.0,0.0,Expenses:Household Staff:Marie:Others,-140.0,True,True
2/5/2019,Holiday Pay Ara Chinese,650.0,0.0,Expenses:Household Staff:Ara:OT,-650.0,True,True
2/5/2019,Holiday Pay Marie,650.0,0.0,Expenses:Household Staff:Marie:OT,-650.0,True,True
2/7/2019,Marie Pay SSS Philhealth,4858.0,0.0,Expenses:Household Staff:Marie:Benefits,-4858.0,True,True
2/7/2019,Philpost,114.0,0.0,Expenses:Professional Fees,-114.0,True,True
2/8/2019,Collect Neostrata Kindness,2600.0,0.0,Expenses:Personal Care,-2600.0,True,True
2/9/2019,Shopwise Colgate,109.75,0.0,Expenses:Food:Groceries,-109.75,True,True
2/9/2019,Mincos 4gal,570.0,0.0,Expenses:Utilities:Drinking Water,-570.0,True,True
2/13/2019,Barangay ID Marie,50.0,0.0,Expenses:Household Staff:Marie:Others,-50.0,True,True
2/13/2019,Jeep,10.0,0.0,Expenses:Transportation:Public,-10.0,True,True
2/19/2019,Ara and Alessi,500.0,0.0,Expenses:Household Staff:Ara:Allowance,-500.0,True,True
2/23/2019,"Mr Quickie, repair shoes",50.0,0.0,Expenses:Household Supplies,-50.0,True,True
2/26/2019,ABLU304 Enterprises,489.0,0.0,Expenses:Household Supplies,-489.0,True,True
2/26/2019,Holiday Feb 25,650.0,0.0,Expenses:Household Staff:Ara:OT,-650.0,True,True
2/26/2019,Ritual Lemon Grass,1180.0,0.0,Expenses:Food:Groceries,-1180.0,True,True
2/26/2019,Withdraw/CASH/FUND,0.0,18500.0,Assets:Current Assets:Banks Local:BPI ATM House,18500.0,True,True
2/26/2019,Holiday Pay Feb 25,650.0,0.0,Expenses:Household Staff:Marie:OT,-650.0,True,True
3/1/2019,Ian electrician,400.0,0.0,Expenses:Housing:Repairs,-400.0,True,True
3/1/2019,School Needs,1000.0,0.0,Expenses:Childcare:School Supplies,-1000.0,True,True
3/1/2019,Sharp Knife,100.0,0.0,Expenses:Professional Fees,-100.0,True,True
3/2/2019,BDO Deposit nuts,1680.0,0.0,Expenses:Food:Groceries,-1680.0,True,True
3/2/2019,Funding,0.0,98.5,Assets:Current Assets:Cash Local:Cash in Wallet (BE),98.5,True,True
3/2/2019,Mincos 5gal,700.0,0.0,Expenses:Utilities:Drinking Water,-700.0,True,True
3/4/2019,Vi Cleaning Aircon,3800.0,0.0,Expenses:Housing:Repairs,-3800.0,True,True
3/7/2019,Ara (Pay Jan-May),4550.0,0.0,Expenses:Household Staff:Ara:Benefits,-4550.0,True,True
3/7/2019,Marie Pag-ibig Pay,1000.0,0.0,Expenses:Household Staff:Marie:Benefits,-1000.0,True,True
3/8/2019,Kale,300.0,0.0,Expenses:Food:Groceries,-300.0,True,True
3/9/2019,Mincos 9gal,570.0,0.0,Expenses:Utilities:Drinking Water,-570.0,True,True
3/9/2019,Rustan's Kale,180.0,0.0,Expenses:Food:Groceries,-180.0,True,True
3/9/2019,Gift Moon Briony Ara International,350.0,0.0,Expenses:Household Staff:Ara:Bonus,-350.0,True,True
3/9/2019,Gift Moon Briony Marie International woman,350.0,0.0,Expenses:Household Staff:Marie:Bonus,-350.0,True,True
3/11/2019,Lalamove Pickup Charge,84.0,0.0,Expenses:Professional Fees,-84.0,True,True
3/16/2019,Salcedo market,845.0,0.0,Expenses:Food:Groceries,-845.0,True,True
3/19/2019,Wilcon,620.34,0.0,Expenses:Household Supplies,-620.34,True,True
3/22/2019,Wilcon Depot,475.0,0.0,Expenses:Household Supplies,-475.0,True,True
3/22/2019,Cake Sonny,1500.0,0.0,Expenses:Food:Groceries,-1500.0,True,True
3/23/2019,Ara Doctor,1200.0,0.0,Expenses:Household Staff:Ara:Medical,-1200.0,True,True
3/23/2019,Adela Pay,500.0,0.0,Expenses:Household Staff:Others,-500.0,True,True
3/23/2019,Balloon,920.0,0.0,Expenses:Food:Groceries,-920.0,True,True
3/23/2019,Blesce Pay,500.0,0.0,Expenses:Household Staff:Others,-500.0,True,True
3/23/2019,Krispy Kreme,385.0,0.0,Expenses:Food:Groceries,-385.0,True,True
3/23/2019,MiniStop ice,76.0,0.0,Expenses:Food:Groceries,-76.0,True,True
3/23/2019,delivery Penyata,212.0,0.0,Expenses:Professional Fees,-212.0,True,True
3/25/2019,funding Kale (kale pay),0.0,300.0,Assets:Current Assets:Cash Local:Cash in Wallet (BE),300.0,True,True
3/26/2019,Load Marrie,50.0,0.0,Expenses:Utilities:Mobile,-50.0,True,True
3/29/2019,marie Food,500.0,0.0,Expenses:Household Staff:Marie:Allowance,-500.0,True,True
3/30/2019,Water 5 gals,700.0,0.0,Expenses:Utilities:Drinking Water,-700.0,True,True
4/3/2019,knife Sharp,400.0,0.0,Expenses:Professional Fees,-400.0,True,True
4/6/2019,ARA Bonus Fr. Ma'am,500.0,0.0,Expenses:Household Staff:Ara:Bonus,-500.0,True,True
4/6/2019,Marie Bonus Fr. Ma'am,500.0,0.0,Expenses:Household Staff:Marie:Bonus,-500.0,True,True
4/6/2019,Market Salcedo,760.0,0.0,Expenses:Food:Groceries,-760.0,True,True
4/8/2019,Marie Medication,2600.0,0.0,Expenses:Household Staff:Marie:Medical,-2600.0,True,True
4/11/2019,GymBoree,990.0,0.0,Expenses:Childcare:Extracurricular Activities,-990.0,True,True
4/11/2019,National,240.0,0.0,Expenses:Household Supplies,-240.0,True,True
4/12/2019,Ara Salary,4000.0,0.0,Expenses:Household Staff:Ara:Basic,-4000.0,True,True
4/12/2019,Food Marie,500.0,0.0,Expenses:Household Staff:Marie:Allowance,-500.0,True,True
4/12/2019,"Marie Salary Less 1,000 and loan",4000.0,0.0,Split Transaction,-4000.0,True,True
4/12/2019,Food Alessi,500.0,0.0,Expenses:Food:Groceries,-500.0,True,True
4/12/2019,Marie Medicine,5600.0,0.0,Expenses:Household Staff:Marie:Medical,-5600.0,True,True
4/16/2019,H.O. Vitamin,1035.0,0.0,Expenses:Food:Groceries,-1035.0,True,True
4/16/2019,Two Tea,595.0,0.0,Expenses:Food:Groceries,-595.0,True,True
4/17/2019,Lalamove,75.0,0.0,Expenses:Professional Fees,-75.0,True,True
4/23/2019,H.O. Vanilla,625.54,0.0,Expenses:Food:Groceries,-625.54,True,True
4/23/2019,National Book Store,237.75,0.0,Expenses:Household Supplies,-237.75,True,True
4/23/2019,Rustan's Supermarket,147.0,0.0,Expenses:Food:Groceries,-147.0,True,True
4/24/2019,Alterations Pants,700.0,0.0,Expenses:Professional Fees,-700.0,True,True
4/24/2019,PRA- Briony ID Renew,8734.4,0.0,Expenses:Travel:Others,-8734.4,True,True
4/24/2019,Mincos Last (4114) (4-26-19),1790.0,0.0,Expenses:Utilities:Drinking Water,-1790.0,True,True
4/27/2019,Mincos 10 Gallons,1350.0,0.0,Expenses:Utilities:Drinking Water,-1350.0,True,True
4/30/2019,Marie Medical,7700.0,0.0,Expenses:Household Staff:Marie:Medical,-7700.0,True,True
4/30/2019,Sanlo market,1513.0,0.0,Expenses:Food:Groceries,-1513.0,True,True
4/30/2019,Marie Allowance,500.0,0.0,Expenses:Household Staff:Marie:Allowance,-500.0,True,True
5/4/2019,Mincos water,570.0,0.0,Expenses:Utilities:Drinking Water,-570.0,True,True
5/4/2019,Santis bread,519.83,0.0,Expenses:Food:Groceries,-519.83,True,True
