Date,Description,Amount (Negated),Amount,transaction_source
07/08/2025,"fp*Food Panda, https://wwwde, PH",1318,0,credit_card
07/08/2025,Merchant Installment Interest Charges,65.52,0,credit_card
07/08/2025,Interest Charges,5613.78,0,credit_card
07/07/2025,"fp*Food Panda, https://wwwde, PH",1153.5,0,credit_card
07/07/2025,"LAZADA PH, MAKATI, PH",1056.06,0,credit_card
07/07/2025,"AYALA CINEMA-GBELT 3, MAKATI CITY, PH",1860,0,credit_card
07/07/2025,"NARA GARDEN TOWERS, MAKATI, PH",4100.22,0,credit_card
07/07/2025,"SP SLIMCASE, STRATHMORE AV, SG",728.1,0,credit_card
07/04/2025,Online Bills Payment to MERALCO (10-DIGIT ACCOUNT NUMBER),39927.09,0,credit_card
07/04/2025,Online Bills Payment to PLDT,2699,0,credit_card
07/04/2025,Online Bills Payment to PLDT,691.75,0,credit_card
07/04/2025,"fp*Food Panda, https://wwwde, PH",1704,0,credit_card
07/03/2025,"BOOZYLIFE ONLINE TAGUIG, TAGUIG, PH",1381,0,credit_card
07/02/2025,"LAZADA PH, MAKATI, PH",0,2940,credit_card
07/02/2025,"LAZADA PH, MAKATI, PH",780,0,credit_card
07/02/2025,"GRAB, MAKATI, PH",153,0,credit_card
07/02/2025,"GRAB, MAKATI, PH",149,0,credit_card
07/01/2025,"TIKTOK SHOP ONLINE, TAGUIG, PH",4275,0,credit_card
07/01/2025,"BRUNCH BUREAU-LEGASPI, MAKATI, PH",220,0,credit_card
07/01/2025,"LAZADA PH, MAKATI, PH",3248.06,0,credit_card
06/30/2025,"LAZADA PH, MAKATI, PH",308,0,credit_card
06/30/2025,"fp*Food Panda, https://wwwde, PH",614,0,credit_card
06/30/2025,"SHOPEE PH, MANDALUYONG, PH",1315,0,credit_card
06/30/2025,"AMAZON MKTPL*NQ0IX8QB1, Amzn.com/bill, US",8663.21,0,credit_card
06/30/2025,"ZALORA, TAGUIG CITY, PH",3529,0,credit_card
06/30/2025,"MUJI GLORIETTA 3, MAKATI, PH",9373.7,0,credit_card
06/30/2025,"fp*Food Panda, https://wwwde, PH",1613.5,0,credit_card
06/30/2025,"SM STORE-MAKATI, MAKATI, PH",1787,0,credit_card
06/30/2025,"RAMEN NAGI GLORIETTA, MAKATI, PH",5334.23,0,credit_card
06/28/2025,"METROMART, MAKATI, PH",4779.6,0,credit_card
06/28/2025,"fp*Food Panda, https://wwwde, PH",2093.5,0,credit_card
06/28/2025,"LAZADA PH, MAKATI, PH",11353.22,0,credit_card
06/27/2025,BPI BILLS PAYMENT -EONLINE & EMOBILE,0,272391.33,credit_card
06/27/2025,"LAZADA PH, MAKATI, PH",0,712,credit_card
06/27/2025,"LAZADA PH, MAKATI, PH",0,1090.5,credit_card
06/27/2025,"SMART, MAKATI, PH",599,0,credit_card
06/27/2025,"Adobe.com, Saggart, Dubl, IE",1261.12,0,credit_card
06/26/2025,"DECATHLON FESTIVAL, MUNTINLUPA, PH",2870,0,credit_card
06/26/2025,"LAZADA PH, MAKATI, PH",2199.4,0,credit_card
06/26/2025,"LAZADA PH, MAKATI, PH",1557.4,0,credit_card
06/26/2025,"QANTAS AIR 0812372342424, NSW, AU (AUD 731.47)",28237.55,0,credit_card
06/26/2025,"PADDLE.NET* CRASHPLAN, London, GB (USD 19.98)",1182.62,0,credit_card
06/26/2025,"QANTAS AIR 0812372342423, NSW, AU (AUD 731.47)",28237.55,0,credit_card
06/26/2025,"Spotify P3802D645A, Stockholm, SE",239,0,credit_card
06/24/2025,"PANCO CAFE, MAKATI, PH",522.86,0,credit_card
