Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week
9/1/2025,mozzarella ,508,,,12136,,,
9/1/2025,bacon ,719,,,11417,,,
9/1/2025,hot dog bread ,58,,,11359,,,
9/1/2025,butter ,495,,,10864,,,
9/3/2025,gyoza sauce ,225,,,10639,,,
9/3/2025,knife sharpening ,750,,,9889,,,
9/3/2025,play date ice cream ,265,,,9624,,,
9/5/2025,metromart exceeded landmark ,475,,,9149,,,
9/5/2025,snr exceeded ,26,,,9123,,,
9/5/2025,ritual soap ,2400,,,6723,,,
9/5/2025,delivery fee ,250,,,6473,,,
9/5/2025,withdraw,,19000,,25473,,,
9/5/2025,santis raider ,250,,,25223,,,
9/5/2025,milk ,828,,,24395,,,
9/5/2025,pork tenderloin ,884,,,23511,,,
9/5/2025,gouda mild,127,,,23384,,,
9/5/2025,forest ham ,232,,,23152,,,
9/5/2025,prosciutto ,259,,,22893,,,
9/5/2025,prosciutto ,264,,,22629,,,
9/5/2025,alessi sticker ,325,,,22304,,,
9/5/2025,alessi snacks ,95,,,22209,,,
9/5/2025,alessi sando,980,,,21229,,,
9/5/2025,flowers ,550,,,20679,,,
9/5/2025,egg large ,430,,,20249,,,
9/5/2025,grapes ,360,,,19889,,,
9/5/2025,spinach ,280,,,19609,,,
9/5/2025,cabbage ,220,,,19389,,,
9/5/2025,baguio beans ,160,,,19229,,,
9/5/2025,patatas ,400,,,18829,,,
9/5/2025,bell pepper green,380,,,18449,,,
9/5/2025,bell pepper red ,280,,,18169,,,
9/5/2025,avocado ,160,,,18009,,,
9/5/2025,carrots ,280,,,17729,,,
9/5/2025,tanglad ,100,,,17629,,,
9/5/2025,kamatis ,200,,,17429,,,
9/5/2025,pechay ,120,,,17309,,,
9/5/2025,basil ,100,,,17209,,,
9/5/2025,zucchini ,180,,,17029,,,
9/5/2025,garlic ,100,,,16929,,,
9/5/2025,wansoy ,180,,,16749,,,
9/5/2025,labanos ,100,,,16649,,,
9/5/2025,salted egg ,180,,,16469,,,
9/5/2025,pineapple ,230,,,16239,,,
9/5/2025,japanese cucumber ,320,,,15919,,,
9/5/2025,romaine ,380,,,15539,,,
9/5/2025,green mango ,360,,,15179,,,
9/5/2025,banana ,270,,,14909,,,
9/5/2025,broccoli ,430,,,14479,,,
9/5/2025,onion white ,160,,,14319,,,
9/5/2025,apple ,150,,,14169,,,
9/5/2025,pomelo ,230,,,13939,,,
9/5/2025,sayote ,100,,,13839,,,
9/5/2025,orange ,100,,,13739,,,
9/5/2025,curly lettuce ,180,,,13559,,,
9/5/2025,iceberg ,280,,,13279,,,
9/5/2025,asparagus ,460,,,12819,,,
9/5/2025,calamansi ,75,,,12744,,,
9/5/2025,green chili ,120,,,12624,,,
9/5/2025,talong ,160,,,12464,,,
9/5/2025,kalabasa ,130,,,12334,,,
9/5/2025,lemon ,100,,,12234,,,
9/5/2025,onion leeks ,80,,,12154,,,
9/5/2025,bangus ,520,,,11634,,,
9/5/2025,maya-maya fish fillet ,650,,,10984,,,
9/5/2025,elmer salary ,1000,,,9984,,,
9/5/2025,ara food allowance,1000,,,8984,,,
9/5/2025,michelle food allowance ,1000,,,7984,,,
9/6/2025,playdate lunch,1198,,,6786,,,
9/6/2025,summit water ,1010,,,5776,,,
9/6/2025,ARC,780,,4996,4996,0,,
9/6/2025,withdraw ,,10000,,14996,,,
9/8/2025,mason jar lids ,856,,,14140,,,
9/8/2025,shadow Gabapentin ,890,,,13250,,,
9/8/2025,catnip,20,,,13230,,,
9/8/2025,manual food processor ,175,,,13055,,,
